run,model_type,snap_idx,a,pos_mse_mean,pos_mse_std,pk_ratio_mean_k0.1,pk_ratio_std_k0.1,cross_corr_mean_k0.1,cross_corr_std_k0.1,pk_ratio_mean_k0.2,pk_ratio_std_k0.2,cross_corr_mean_k0.2,cross_corr_std_k0.2,pk_ratio_mean_k0.3,pk_ratio_std_k0.3,cross_corr_mean_k0.3,cross_corr_std_k0.3,pk_ratio_mean_k0.5,pk_ratio_std_k0.5,cross_corr_mean_k0.5,cross_corr_std_k0.5,pk_ratio_mean_k0.6,pk_ratio_std_k0.6,cross_corr_mean_k0.6,cross_corr_std_k0.6,pk_ratio_mean_k0.8,pk_ratio_std_k0.8,cross_corr_mean_k0.8,cross_corr_std_k0.8,pk_ratio_mean_k1.0,pk_ratio_std_k1.0,cross_corr_mean_k1.0,cross_corr_std_k1.0,pk_ratio_mean_k1.5,pk_ratio_std_k1.5,cross_corr_mean_k1.5,cross_corr_std_k1.5,pk_ratio_mean_k2.0,pk_ratio_std_k2.0,cross_corr_mean_k2.0,cross_corr_std_k2.0
LR (baseline),baseline,0,0.10000000149011612,4.502588922150608e-07,1.5650582737936787e-09,0.9976709485054016,0.0002845803974196315,0.9986753463745117,8.979958511190489e-05,0.9904559850692749,0.0004515646432992071,0.9952219724655151,0.00018671579891815782,0.9774483442306519,0.00035743534681387246,0.9892660975456238,0.0002096992830047384,0.9277622103691101,0.0004690683854278177,0.9692503809928894,0.00028492393903434277,0.8898780941963196,0.0004986498388461769,0.9556859731674194,0.0004770146042574197,0.7678829431533813,0.0019731237553060055,0.9114192724227905,0.0008003110997378826,0.6277987360954285,0.0029761053156107664,0.8501278758049011,0.0006961295148357749,0.2823241055011749,0.00376361096277833,0.5380614995956421,0.004874167963862419,0.25892505049705505,0.0040899356827139854,0.4980241358280182,0.0018528113141655922
LR (baseline),baseline,12,0.3204081654548645,4.58640379292774e-06,1.750684524939773e-08,0.993050217628479,0.0003276710049249232,0.9986780285835266,7.833373092580587e-05,0.9723485708236694,0.0006219393690116704,0.9951621890068054,0.00025929950061254203,0.9389996528625488,0.001533985254354775,0.9889601469039917,0.00014373823069036007,0.8376891016960144,0.001351323095150292,0.9683170318603516,0.0006334383506327868,0.7769745588302612,0.0008347255061380565,0.9534252882003784,0.0004797160509042442,0.6304188966751099,0.0012013647938147187,0.9058483242988586,0.000597784761339426,0.5125666856765747,0.0026923862751573324,0.846147894859314,0.0017123020952567458,0.28383803367614746,0.0022530381102114916,0.6161423921585083,0.0020336199086159468,0.2689673900604248,0.0032343699131160975,0.5912846326828003,0.003911125008016825
LR (baseline),baseline,24,0.5408163070678711,1.2436705947038718e-05,3.987519050631182e-08,0.9930508732795715,0.0004178084200248122,0.9986814260482788,6.670194125035778e-05,0.9737569689750671,0.0007245356682687998,0.9950499534606934,0.0003028522478416562,0.9441602826118469,0.00186488451436162,0.9887398481369019,0.00024018700059968978,0.8636983633041382,0.0021602080669254065,0.967298150062561,0.0007180839311331511,0.8197676539421082,0.002976753516122699,0.9512016177177429,0.0004882643697783351,0.7183572053909302,0.0032067224383354187,0.901690661907196,0.0007905024685896933,0.6431150436401367,0.00703843217343092,0.8437420129776001,0.001176903024315834,0.49335694313049316,0.010397057048976421,0.6421636343002319,0.004041936714202166,0.483477920293808,0.012232199311256409,0.6242585182189941,0.0066397525370121
LR (baseline),baseline,37,0.7795918583869934,2.168300998164341e-05,7.655672997825885e-08,0.994031548500061,0.0004604117712005973,0.9986867904663086,5.7766483223531395e-05,0.9789522886276245,0.0006159926415421069,0.9949406385421753,0.00031940697226673365,0.9561009407043457,0.0015147958183661103,0.988652229309082,0.00027344259433448315,0.8973490595817566,0.002181523246690631,0.9667628407478333,0.0003164234512951225,0.8673112988471985,0.0036476487293839455,0.9507017135620117,0.0010091896401718259,0.789753794670105,0.004708008375018835,0.9030210375785828,0.0014066005824133754,0.7340134382247925,0.005891344044357538,0.8467928767204285,0.0023580463603138924,0.605276882648468,0.012629466131329536,0.6496953964233398,0.006621562410145998,0.591826319694519,0.01328316517174244,0.6324155926704407,0.01019219122827053
LR (baseline),baseline,49,1.0,2.883860252040904e-05,1.1218094129437193e-07,0.9945152997970581,0.0005215629353187978,0.9986915588378906,5.184862675378099e-05,0.9811359643936157,0.0005040898104198277,0.9948848485946655,0.00031666256836615503,0.9606934785842896,0.0013939021155238152,0.9886175990104675,0.00030897592660039663,0.9082501530647278,0.003283759579062462,0.9665452837944031,0.00028616670169867575,0.8811296224594116,0.0032458966597914696,0.9505442380905151,0.0007799161830917001,0.8102911710739136,0.008697212673723698,0.9038234949111938,0.0011777608888223767,0.7492054104804993,0.010031483136117458,0.8476478457450867,0.001870286068879068,0.6067883372306824,0.019243931397795677,0.6543415188789368,0.0038970320019870996,0.5956676602363586,0.017632557079195976,0.6325328350067139,0.006281124893575907
cnn electric-dream,cnn,0,0.10000000149011612,4.502588922150608e-07,1.5650582737936787e-09,0.9976709485054016,0.0002845274575520307,0.998675525188446,8.980889833765104e-05,0.9904557466506958,0.0004517003835644573,0.995221734046936,0.00018675741739571095,0.9774479866027832,0.0003573424182832241,0.9892657995223999,0.00020944286370649934,0.9277622103691101,0.00046918127918615937,0.9692506790161133,0.00028528220718726516,0.8898776769638062,0.0004987364518456161,0.9556868672370911,0.000477689754916355,0.7678832411766052,0.0019740925636142492,0.9114185571670532,0.0008011541794985533,0.6277989149093628,0.0029762519989162683,0.8501259684562683,0.000697343610227108,0.28232377767562866,0.0037635155022144318,0.5380620360374451,0.004874393809586763,0.2589249014854431,0.004089964088052511,0.49802446365356445,0.0018530887318775058
cnn electric-dream,cnn,12,0.3204081654548645,3.4196308206446703e-06,1.9424059114010993e-08,1.000785231590271,0.0010525307152420282,0.9993009567260742,4.276548497728072e-05,1.0006673336029053,0.0007585405255667865,0.9974800944328308,0.00018647557590156794,1.0005794763565063,0.0019483637297526002,0.9945882558822632,0.00014086718147154897,0.9838759303092957,0.0021913452073931694,0.9848297238349915,0.0002501865674275905,0.9660073518753052,0.0034229354932904243,0.9770883321762085,0.00048493233043700457,0.8811205625534058,0.005690053105354309,0.9482064247131348,0.00020618847338482738,0.773449718952179,0.0052283513359725475,0.9049142003059387,0.0012544378405436873,0.5110756754875183,0.006381681654602289,0.7247235774993896,0.0007793813711032271,0.4935941696166992,0.005257207900285721,0.7061105966567993,0.0034948585089296103
cnn electric-dream,cnn,24,0.5408163070678711,7.707708755333443e-06,4.8651800407710885e-08,1.0026618242263794,0.001440877211280167,0.9996402859687805,3.3076677937060595e-05,1.0072835683822632,0.0012123612686991692,0.9986861348152161,0.00012586273078341037,1.0157380104064941,0.002908142749220133,0.997322678565979,0.00010044529335573316,1.0272996425628662,0.0021091406233608723,0.992462158203125,0.0001931276055984199,1.0307538509368896,0.003246294567361474,0.9881848096847534,0.0004600921820383519,1.0077906847000122,0.0068800621666014194,0.9721090197563171,0.0003655722248367965,0.9688205718994141,0.005316896364092827,0.9494651556015015,0.0008392820018343627,0.8362895250320435,0.00715384678915143,0.8612211346626282,0.0024112816900014877,0.8230687379837036,0.011060616932809353,0.8514605760574341,0.003201765473932028
cnn electric-dream,cnn,37,0.7795918583869934,1.2684052489930763e-05,8.698394180850185e-08,1.0024018287658691,0.0013205993454903364,0.9998233914375305,2.1836982341483235e-05,1.00736665725708,0.0018060540314763784,0.9992640614509583,2.6460689696250483e-05,1.0154125690460205,0.004469309467822313,0.998221218585968,9.499933366896585e-05,1.0256633758544922,0.0008664816850796342,0.9938898086547852,0.000553888501599431,1.0294458866119385,0.0022351988591253757,0.9897553324699402,0.0008822178351692855,1.0078638792037964,0.007736077532172203,0.9753482937812805,0.0020657575223594904,0.9733997583389282,0.009478341788053513,0.9555625915527344,0.003602973883971572,0.85174959897995,0.014075693674385548,0.8774996995925903,0.005123054143041372,0.8321973085403442,0.012638679705560207,0.8682347536087036,0.006129810586571693
cnn electric-dream,cnn,49,1.0,1.6896359375095928e-05,1.4692571677974555e-07,1.0015735626220703,0.0011599119752645493,0.999862790107727,2.0974061044398695e-05,1.0058538913726807,0.0023963486310094595,0.9992206692695618,9.070190571947023e-05,1.012115478515625,0.005782171152532101,0.9976041913032532,0.0004183390410616994,1.0166151523590088,0.0010908656986430287,0.9906867742538452,0.0017915066564455628,1.0157312154769897,0.004360327497124672,0.9847696423530579,0.002762732096016407,0.9945927858352661,0.005191946402192116,0.9652407765388489,0.005394108593463898,0.9522265195846558,0.01084933616220951,0.9402669072151184,0.009305281564593315,0.8144429922103882,0.01263541728258133,0.8475969433784485,0.013347209431231022,0.8020690679550171,0.014109225943684578,0.8372465968132019,0.013156740926206112
